f,p,mean,std,n,mean_ms,ci95
10,0.0,0.0004679809166792514,0.00029069274851279076,10,0.4679809166792514,0.18017323218060882
10,0.5,0.00048225757638318206,0.0002653698523846478,10,0.48225757638318206,0.16447793855211781
10,1.0,0.0005547822144444445,0.00031832944917743397,10,0.5547822144444445,0.19730263671867096
20,0.0,0.000546346427369146,0.0005667247895280588,10,0.546346427369146,0.35125966371208855
20,0.5,0.0008672361156043956,0.0007296851861652357,10,0.8672361156043956,0.4522635639805614
20,1.0,0.00041205955833333334,0.00020440805014922375,10,0.41205955833333335,0.12669342206691173
30,0.0,0.00047101017533333336,0.00018663910531369047,10,0.47101017533333334,0.11568011595647017
30,0.5,0.0003788618546666666,7.949738651150844e-05,10,0.3788618546666666,0.049272990643794375
30,1.0,0.0004036603229139073,7.907794412753639e-05,10,0.4036603229139073,0.04901301756080412
40,0.0,0.0005645003255118602,9.828835809032788e-05,10,0.5645003255118602,0.06091975549256007
40,0.5,0.0007095346711111112,0.00011614259531128284,10,0.7095346711111112,0.07198592637118191
40,1.0,0.0006433568394444445,0.00011050803681511429,10,0.6433568394444446,0.06849359083354213
50,0.0,0.0009058506633333333,0.00012093822781689831,10,0.9058506633333333,0.0749582901928034
50,0.5,0.0008100645214285714,0.00023667921706969843,10,0.8100645214285714,0.14669529855006738
50,1.0,0.0008554875672386053,0.0003734783741377626,10,0.8554875672386053,0.23148429454200345
